ID,Chinese,English,Context,Source,Notes
netease_mpay__login_input_captcha,请输入验证码,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_input_login_password,请输入登录密码,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_input_mobile,请输入手机号码,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_input_password,请输入密码,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_input_urs_template,请输入%1$s,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_login_immediately,立即登录,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_login_success_welcome_back_template,", 欢迎进入%1$s。",,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_mobile_get_security_state_failed_template,获取帐号信息状态失败，请重试或返回%1$s。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_mobile_guide_set_security_template,您的帐号%1$s信息尚未完善，请尽快补充完整以保证帐号的安全。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_nettest_check_dns,检测当前DNS...,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_nettest_check_finish,请导出报告联系开发组或客服,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_nettest_check_http,检测网络请求...,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_nettest_check_localtime,检测系统时间...,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_nettest_check_ping,检测访问延迟状态...,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_nettest_check_report,查看报告,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_nettest_check_traceroute,检测服务器连接...,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_nettest_export_report,导出报告,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_nettest_status_finish,检测完成,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_nettest_status_in_progress,检测中,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_nettest_title,网络检测,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_oauth_do_continue,继续登录,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_oauth_quit_weibo_confirm,退出微博登录？,Confirm,Button,resources.arsc,Extracted from APK resources
netease_mpay__login_please_login_before_qrcode_scan,当前未登录帐号，请登录后再扫码。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_qr_code_login_other_accounts,使用官方渠道帐号登录,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_qr_code_login_scan_tips_default,MuMu模拟器已支持%1$s渠道版本扫码登录,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_qr_code_login_scan_tips_default2,打开%1$s手机端app扫码登录,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_qrcode_remember_tip,您已启用记住帐号，请留意帐号安全，如需撤销该桌面模拟器登录凭证，请登录游戏后进入“用户中心—登录管理”中进行操作。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_qrcode_scan_nopay,快捷扫码功能暂不支持支付。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_qrcode_scan_retry,二维码识别失败，请扫描桌面模拟器二维码。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_quick_edit,快捷编辑,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_registration_title,注册新用户,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_related_urs_title,该手机已绑定其他帐号，也可直接登录：,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_remember_login_info,记住帐号，下次登录免扫码。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_scancode_login_success_welcome_back_template,已登录%1$s,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_send_captcha,发送短信,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_unfreeze,解冻,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_unlock,解锁,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_upload_sms_template,免费验证码短信已用完，请编辑短信%1$s发送到%2$s，即可获得验证码。短信费用由运营商收取，网易公司不额外收费。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_weibo_login_title,微博登录,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_with_other_accounts,其他帐号登录,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__login_with_password,密码登录,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__mcard_confirm_message_other_template,卡内余额仍可以购买%1$s产品，但不可充值话费，确认支付？,Confirm,Button,resources.arsc,Extracted from APK resources
netease_mpay__mcard_confirm_message_urs,卡内余额将充值到您的网易通行证帐号，确认支付？,Confirm,Button,resources.arsc,Extracted from APK resources
netease_mpay__mcard_deposit_tips,所选面值请与充值卡实际面值一致，以免造成充值失败或卡内金额损失。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__mcard_err_empty_denomination,请选择充值卡的面额,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__mcard_pay_tips,所选面值请与充值卡实际面值一致，以免造成充值失败或卡内金额损失，超出订单金额的部分将充值到帐号点数。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__mcard_pay_tips_other,所选手机充值卡实际面值请与支付面值一致，以免造成支付失败或卡内资金损失。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__mcard_prepay_tips_other,所选面值请与充值卡实际面值一致，以免造成充值失败或卡内资金损失。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__mcard_price_title,充值卡面值：,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__mcard_selector_title,请选择与支付面值一致的充值卡,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__mins_before,%1$s分钟前,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__mobile_app,手机端APP,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__mobile_login_means_agree,已同意,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__mobile_login_means_agree_hint,请同意《服务条款》,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__more_pay_channels,更多支付方式,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__mpay_trade_quit_tip,交易尚未完成，继续交易？,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__need_install_app,请先安装%1$sapp。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__net_check_ok,开始检测,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__net_report_dns,DNS解析,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__net_report_http,网络请求测试,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__net_report_localtime,本地时间：,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__net_report_network_time,网络时间：,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__net_report_ping,ping测试,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__net_report_ping_avg,平均值：,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__net_report_ping_lost_packet,个包，丢包率,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__net_report_ping_max,最大值：,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__net_report_ping_min,最小值：,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__net_report_ping_receive_packet,个包，收到,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__net_report_ping_send,发送,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__net_report_ping_std,标准差：,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__net_report_time,时间检测,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__net_report_time_interval,时间间隔：,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__net_test_error,检测结果异常，请重新检测！,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__net_test_ping_error,ping测试发生异常。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__network_err_client_protocol,协议错误！,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__network_err_cmwap_bad_network,网络状况不佳，请切换到WiFi环境。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__network_err_fatal,无法访问该页面，请稍后再试！,,Account / Payment SDK,resources.arsc,Extracted from APK resources
